date,usa,ny
2000-01-31,57223.18073,120501.1598
2000-02-29,57312.25364,120974.3236
2000-03-31,57424.65969,121437.2224
2000-04-30,57673.10112,122397.8292
2000-05-31,57967.12199,123404.5797
2000-06-30,58290.13479,124528.3539
2000-07-31,58631.1333,125773.4309
2000-08-31,58996.12879,127113.3353
2000-09-30,59375.12988,128525.3454
2000-10-31,59755.40688,129928.3203
2000-11-30,60141.78405,131281.9364
2000-12-31,60534.00241,132561.9627
2001-01-31,60895.96394,133788.4034
2001-02-28,61202.36206,135058.7052
2001-03-31,61485.98265,136294.2786
2001-04-30,61790.87251,137557.5972
2001-05-31,62130.91307,138805.3098
2001-06-30,62483.09531,140166.6006
2001-07-31,62848.0195,141577.2558
2001-08-31,63228.34344,143101.2362
2001-09-30,63613.96932,144674.1938
2001-10-31,63996.47812,146351.518
2001-11-30,64350.87779,147936.2376
2001-12-31,64680.27481,149449.4579
2002-01-31,64967.83785,150957.7865
2002-02-28,65240.6529,152469.7879
2002-03-31,65517.1137,153960.7099
2002-04-30,65822.59998,155401.8329
2002-05-31,66166.05939,156892.3172
2002-06-30,66543.19186,158538.5982
2002-07-31,66957.58792,160347.1527
2002-08-31,67397.36414,162521.806
2002-09-30,67843.36766,164909.1297
2002-10-31,68290.80247,167379.9396
2002-11-30,68720.88504,169666.2186
2002-12-31,69138.9288,171827.0808
2003-01-31,69514.04069,173929.1053
2003-02-28,69867.84063,176044.6401
2003-03-31,70216.95128,178292.4995
2003-04-30,70597.56905,180481.9748
2003-05-31,71017.15943,182689.2809
2003-06-30,71457.98926,184883.3926
2003-07-31,71921.38288,187214.7935
2003-08-31,72417.52631,189594.4722
2003-09-30,72941.98845,191836.9268
2003-10-31,73470.1973,193907.4445
2003-11-30,73954.79033,195787.8298
2003-12-31,74407.54726,197583.6575
2004-01-31,74843.60448,199457.8271
2004-02-29,75314.88518,201337.3828
2004-03-31,75835.82503,203294.5359
2004-04-30,76409.94604,205292.575
2004-05-31,77048.22442,207582.398
2004-06-30,77734.2856,210113.8668
2004-07-31,78468.88878,212860.5873
2004-08-31,79207.86571,215660.8487
2004-09-30,79940.25753,218588.3683
2004-10-31,80644.44597,221522.9825
2004-11-30,81310.06837,224390.3783
2004-12-31,81960.30034,227057.8952
2005-01-31,82591.02451,229610.7788
2005-02-28,83228.6407,232052.2712
2005-03-31,83875.9408,234553.0406
2005-04-30,84587.39752,237386.0387
2005-05-31,85332.46702,240483.1535
2005-06-30,86106.10571,243626.8766
2005-07-31,86878.47601,246631.1415
2005-08-31,87651.46507,249601.7823
2005-09-30,88409.07457,252529.3869
2005-10-31,89125.67719,255463.7356
2005-11-30,89784.93832,258208.89
2005-12-31,90385.5533,260869.6226
2006-01-31,90903.98505,263211.3028
2006-02-28,91389.88827,265494.9783
2006-03-31,91874.65201,267502.8201
2006-04-30,92390.00083,269437.9781
2006-05-31,92898.75412,271171.6191
2006-06-30,93357.15638,272811.4562
2006-07-31,93734.87374,274010.4931
2006-08-31,94047.56934,274693.9816
2006-09-30,94288.19578,274834.8951
2006-10-31,94498.53834,274536.6421
2006-11-30,94659.20833,273956.1825
2006-12-31,94796.91488,273184.9708
2007-01-31,94899.8669,272378.9881
2007-02-28,94991.6705,271771.136
2007-03-31,95064.94016,271613.3842
2007-04-30,95135.62118,271647.1213
2007-05-31,95155.62994,271633.0145
2007-06-30,95115.22545,271102.9677
2007-07-31,94990.52851,270189.9488
2007-08-31,94849.20486,269144.9655
2007-09-30,94670.12392,268069.9158
2007-10-31,94469.46991,267222.7722
2007-11-30,94214.8516,266377.7894
2007-12-31,93940.29009,265538.8152
2008-01-31,93608.27132,264849.1456
2008-02-29,93225.93079,264245.4349
2008-03-31,92785.09913,263458.9566
2008-04-30,92301.10357,262346.3359
2008-05-31,91784.80883,260650.5956
2008-06-30,91230.14188,258836.1854
2008-07-31,90629.82775,256929.5839
2008-08-31,89950.00665,255106.6112
2008-09-30,89247.46126,253230.8565
2008-10-31,88551.75381,251183.9302
2008-11-30,87855.40796,249089.6777
2008-12-31,87148.72312,247147.8131
2009-01-31,86440.99916,245254.8301
2009-02-28,85825.89294,243409.0793
2009-03-31,85255.72179,241550.6047
2009-04-30,84712.60852,239662.2189
2009-05-31,84158.87693,237969.4075
2009-06-30,83620.01205,236310.2318
2009-07-31,83118.96585,234745.8898
2009-08-31,82638.52368,233183.6333
2009-09-30,82192.39129,231873.8974
2009-10-31,81825.31745,230844.5036
2009-11-30,81617.94391,230111.1
2009-12-31,81521.09233,229674.2949
2010-01-31,81477.89807,229519.9383
2010-02-28,81427.32548,229624.3712
2010-03-31,81413.75866,229602.6269
2010-04-30,81460.42967,229553.298
2010-05-31,81496.20347,229421.2309
2010-06-30,81443.36884,229471.2297
2010-07-31,81212.16852,229498.4453
2010-08-31,80859.49776,229312.5704
2010-09-30,80409.61298,228801.2073
2010-10-31,79935.91649,227927.3563
2010-11-30,79442.69114,226837.8673
2010-12-31,78976.11341,225666.9073
2011-01-31,78530.98165,224748.4941
2011-02-28,78118.98701,224010.0055
2011-03-31,77729.97964,223472.0869
2011-04-30,77326.54803,222774.651
2011-05-31,76906.01032,222012.8374
2011-06-30,76499.01865,221013.4988
2011-07-31,76165.26238,219939.8491
2011-08-31,75891.68713,218883.732
2011-09-30,75660.96891,217872.5534
2011-10-31,75434.59666,216923.4217
2011-11-30,75240.9977,215890.376
2011-12-31,75069.28163,214918.38
2012-01-31,74958.45986,214047.4946
2012-02-29,74985.54617,213508.5658
2012-03-31,75106.02562,213381.1752
2012-04-30,75319.76956,213434.6691
2012-05-31,75641.31252,213636.3551
2012-06-30,76019.39878,213695.6131
2012-07-31,76418.57857,213841.2418
2012-08-31,76648.95401,213483.139
2012-09-30,76941.72322,213235.1565
2012-10-31,77203.53582,212883.4218
2012-11-30,77503.05445,212925.8719
2012-12-31,77787.30177,213063.0916
2013-01-31,78145.76469,213564.9083
2013-02-28,78523.17883,214114.1948
2013-03-31,78991.88865,214590.6405
2013-04-30,79551.82133,215016.4767
2013-05-31,80255.83121,215685.0721
2013-06-30,80998.67637,216643.6559
2013-07-31,81618.33534,217701.0521
2013-08-31,82284.61241,218921.768
2013-09-30,82871.34642,220155.9362
2013-10-31,83545.31361,221392.3686
2013-11-30,84012.2383,222184.6112
2013-12-31,84429.77766,222759.4673
2014-01-31,84778.44295,223464.6397
2014-02-28,85194.80532,224584.1935
2014-03-31,85575.18459,226170.1629
2014-04-30,86043.63593,227783.8002
2014-05-31,86609.46181,229515.5353
2014-06-30,87210.66729,230642.6707
2014-07-31,87824.17131,231469.9554
2014-08-31,88316.54076,231905.0931
2014-09-30,88698.08255,232468.1365
2014-10-31,88875.01311,232970.2258
2014-11-30,89116.04917,233467.6933
2014-12-31,89465.87062,233779.494
2015-01-31,89833.88417,233851.9731
2015-02-28,90139.62046,233858.9428
2015-03-31,90491.29596,234096.8091
2015-04-30,91011.19627,234500.7129
2015-05-31,91670.5539,235335.9431
2015-06-30,92306.07673,236083.7277
2015-07-31,92941.77089,236991.6736
2015-08-31,93565.3413,237982.7893
2015-09-30,94198.687,239471.9049
2015-10-31,94844.56719,241297.3232
2015-11-30,95350.72555,242962.1224
2015-12-31,95896.46833,244328.0998
2016-01-31,96498.41693,245287.0713
2016-02-29,97168.32942,245972.0847
2016-03-31,97605.26711,246348.1801
2016-04-30,97974.75546,246957.976
2016-05-31,98330.27144,247862.9786
2016-06-30,98863.43187,249095.388
2016-07-31,99218.42351,250010.2723
2016-08-31,99598.5335,250686.2518
2016-09-30,99986.84192,251139.3752
2016-10-31,100563.6693,251763.3058
2016-11-30,101178.0374,252611.8838
2016-12-31,101807.0214,253959.7528
2017-01-31,102426.7158,255320.2848
2017-02-28,103014.6204,256968.0535
2017-03-31,103554.7191,258561.5515
2017-04-30,104063.4526,260557.5161
2017-05-31,104494.1069,262204.6892
2017-06-30,104937.5268,263694.8211
2017-07-31,105466.9601,264812.174
2017-08-31,106076.5738,266049.3073
2017-09-30,106759.7069,267253.4615
2017-10-31,107450.7477,268876.2207
2017-11-30,108189.1449,270401.3671
2017-12-31,108907.2432,271972.023
2018-01-31,109617.8316,273371.8719
2018-02-28,110313.9588,274661.3305
2018-03-31,111217.0862,276341.0481
2018-04-30,112044.8301,278078.9287
2018-05-31,112793.796,280173.2066
2018-06-30,113236.4045,282022.612
2018-07-31,113806.1687,284116.8286
2018-08-31,114383.8464,286069.2354
2018-09-30,115061.3904,287960.0341
2018-10-31,115531.0645,289242.6291
2018-11-30,116105.7423,290490.5869
2018-12-31,116693.4529,291587.4621
2019-01-31,117424.9119,293069.9691
2019-02-28,118211.2161,294848.4944
2019-03-31,119091.0221,296833.0935
2019-04-30,119856.9689,298768.8935
2019-05-31,120462.1511,300191.9495
2019-06-30,120972.6286,301519.5105
2019-07-31,121442.8666,302536.9437
2019-08-31,121896.5908,303576.3455
2019-09-30,122240.7773,304131.0677
2019-10-31,122766.6222,304890.885
2019-11-30,123472.0044,306460.9309
2019-12-31,124332.1749,308487.9739
2020-01-31,125199.8171,311062.0601
2020-02-29,126116.7149,313191.2915
2020-03-31,127093.958,315496.2667
2020-04-30,128082.4941,317598.6456
2020-05-31,128721.8032,319301.9492
2020-06-30,129073.9267,320160.8471
2020-07-31,129487.462,320368.9169
2020-08-31,130454.1331,321021.6154
2020-09-30,132193.173,323364.3255
2020-10-31,134254.0698,326957.3385
2020-11-30,136451.9227,331461.9327
2020-12-31,138404.5647,336321.5026
2021-01-31,140231.7352,340926.7602
2021-02-28,142120.0868,345711.7052
2021-03-31,144161.3633,350168.8738
2021-04-30,146265.422,354332.0842
2021-05-31,148471.9371,358259.0237
2021-06-30,150863.2376,361727.9009
2021-07-31,152865.1548,364740.705
2021-08-31,154056.7692,366438.6913
2021-09-30,154409.7831,367193.4735
2021-10-31,154918.2633,368309.0143
2021-11-30,155975.2526,370281.7694
2021-12-31,157382.3535,372765.027
2022-01-31,159608.1295,375844.4851
2022-02-28,162349.5947,379681.4863
2022-03-31,165522.0558,384620.5632
2022-04-30,168407.6963,389425.965
2022-05-31,170811.5689,393731.0174
2022-06-30,173023.2123,397435.1922
2022-07-31,174379.1798,399638.5396
2022-08-31,174875.946,399756.4063
2022-09-30,174613.246,398197.2803
2022-10-31,174416.7787,396834.9255
2022-11-30,174346.8913,395909.3766
2022-12-31,174203.4385,395161.4048
2023-01-31,173769.2572,394983.4003
2023-02-28,173476.1233,394937.2479
2023-03-31,173736.8149,396339.569
2023-04-30,174683.09,398725.5631
2023-05-31,175989.4564,402363.3697
2023-06-30,177294.5287,405980.5964
2023-07-31,178362.9293,409178.5393
2023-08-31,179296.3187,412091.6552
2023-09-30,180014.4856,414609.8931
2023-10-31,180547.6055,416871.2079
2023-11-30,180953.9628,419087.3027
2023-12-31,181209.5157,421595.0376
2024-01-31,181426.7147,424192.3304
2024-02-29,181905.3273,427407.0371
2024-03-31,182979.0149,431387.6081
2024-04-30,184444.6832,435741.2209
2024-05-31,185691.3239,439262.8884
2024-06-30,186437.2171,441956.0026
2024-07-31,186721.9353,444704.173
2024-08-31,186864.9865,448088.9907
2024-09-30,186876.005,451399.6886
2024-10-31,187025.301,454151.1624
2024-11-30,187246.2608,456535.0038
2024-12-31,187864.3226,458682.3353